Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Organism
Upregulated_in_human_Dendritic_cells,R-HSA-112409,RAF-independent MAPK1/3 activation,0.13953488372093023,0.0021778240696903703,3.038571679079604e-10,1.2640458184971152e-7,6.8127975541469e-8,MAPK1/MAP2K1/DUSP1/DUSP5/DUSP10/DUSP7,6,Human
Upregulated_in_human_Dendritic_cells,R-HSA-449147,Signaling by Interleukins,0.32558139534883723,0.04393523340592747,1.9965702120576963e-9,4.1528660410800085e-7,2.2382602903594173e-7,AKT1/PIM1/MAPK1/MAPK7/MAP2K1/MAP2K3/RIPK2/JAK3/LYN/PTK2B/SYK/TEC/PIK3CA/DUSP7,14,Human
Upregulated_in_human_Dendritic_cells,R-HSA-5675221,Negative regulation of MAPK pathway,0.13953488372093023,0.003787520121200644,1.0977319959488599e-8,1.4380792000182692e-6,7.750781113458788e-7,MAPK1/MAP2K1/DUSP1/DUSP5/DUSP10/DUSP7,6,Human
Upregulated_in_human_Dendritic_cells,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,0.3023255813953488,0.04242022535744721,1.3827684615560282e-8,1.4380792000182692e-6,7.750781113458788e-7,AKT1/AKT3/PRKCD/MAPK1/MAPK13/MAPK7/IGF1R/LYN/PTK2B/SRC/TEC/PIK3CA/DUSP7,13,Human
Upregulated_in_human_Dendritic_cells,R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,0.16279069767441862,0.008143168260581384,4.710588741279172e-8,2.7994355948173364e-6,1.5088051156277646e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,0.16279069767441862,0.008143168260581384,4.710588741279172e-8,2.7994355948173364e-6,1.5088051156277646e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-975871,MyD88 cascade initiated on plasma membrane,0.16279069767441862,0.008143168260581384,4.710588741279172e-8,2.7994355948173364e-6,1.5088051156277646e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,0.18604651162790697,0.012688192406022158,5.4351678745771594e-8,2.8262872947801227e-6,1.5232773122170193e-6,PRKCQ/MAPK1/MAP3K1/LYN/SYK/TEC/TXK/PIK3CA,8,Human
Upregulated_in_human_Dendritic_cells,R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,0.16279069767441862,0.008900672284821514,8.760950309028413e-8,3.2450322870031905e-6,1.7489673004344117e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-166058,MyD88:Mal cascade initiated on plasma membrane,0.16279069767441862,0.009090048290881546,1.014072589688497e-7,3.2450322870031905e-6,1.7489673004344117e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,0.16279069767441862,0.009090048290881546,1.014072589688497e-7,3.2450322870031905e-6,1.7489673004344117e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,0.16279069767441862,0.009090048290881546,1.014072589688497e-7,3.2450322870031905e-6,1.7489673004344117e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-975155,MyD88 dependent cascade initiated on endosome,0.16279069767441862,0.009090048290881546,1.014072589688497e-7,3.2450322870031905e-6,1.7489673004344117e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,0.16279069767441862,0.009374112299971593,1.2552305236392128e-7,3.2635993614619532e-6,1.7589743522049493e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,0.16279069767441862,0.009374112299971593,1.2552305236392128e-7,3.2635993614619532e-6,1.7589743522049493e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-4420097,VEGFA-VEGFR2 Pathway,0.16279069767441862,0.009374112299971593,1.2552305236392128e-7,3.2635993614619532e-6,1.7589743522049493e-6,AKT1/AKT3/PRKCD/MAPK13/PTK2B/SRC/PIK3CA,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,0.16279069767441862,0.00946880030300161,1.3456687885687438e-7,3.2929306826152788e-6,1.7747829843042875e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-389356,CD28 co-stimulation,0.11627906976744186,0.0031247040999905313,1.920191584532955e-7,4.367257527007841e-6,2.353810357420724e-6,AKT1/AKT3/LYN/SRC/PIK3CA,5,Human
Upregulated_in_human_Dendritic_cells,R-HSA-450294,MAP kinase activation,0.13953488372093023,0.00606003219392103,1.9946608897391583e-7,4.367257527007841e-6,2.353810357420724e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/RIPK2/DUSP7,6,Human
Upregulated_in_human_Dendritic_cells,R-HSA-194138,Signaling by VEGF,0.16279069767441862,0.010131616324211723,2.1465241059131342e-7,4.464770140299319e-6,2.4063664976815658e-6,AKT1/AKT3/PRKCD/MAPK13/PTK2B/SRC/PIK3CA,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-448424,Interleukin-17 signaling,0.13953488372093023,0.006817536218161159,4.057686529920542e-7,8.038083792604503e-6,4.3322668214189245e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/RIPK2/DUSP7,6,Human
Upregulated_in_human_Dendritic_cells,R-HSA-187037,Signaling by NTRK1 (TRKA),0.13953488372093023,0.007385664236341256,6.551193398121023e-7,1.2387711152810663e-5,6.6765750899510896e-6,MAPK1/MAPK13/MAPK7/SRC/PIK3CA/DUSP7,6,Human
Upregulated_in_human_Dendritic_cells,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,0.16279069767441862,0.012404128396932109,8.54843060625092e-7,1.5461509270436447e-05,8.333252719137051e-6,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,0.13953488372093023,0.008143168260581384,1.1706036827548869e-6,2.029046383441804e-5,1.0935902825736442e-5,PRKCD/MAPK1/LYN/SRC/SYK/PIK3CA,6,Human
Upregulated_in_human_Dendritic_cells,R-HSA-512988,"Interleukin-3, 5 and GM-CSF signaling",0.11627906976744186,0.004545024145440773,1.3243238883792059e-6,2.1693433963202616e-5,1.1692058284823271e-5,JAK3/LYN/SYK/TEC/PIK3CA,5,Human
Upregulated_in_human_Dendritic_cells,R-HSA-389513,CTLA4 inhibitory signaling,0.09302325581395349,0.001988448063630338,1.3558396227001635e-6,2.1693433963202616e-5,1.1692058284823271e-5,AKT1/AKT3/LYN/SRC,4,Human
Upregulated_in_human_Dendritic_cells,R-HSA-1227986,Signaling by ERBB2,0.11627906976744186,0.004734400151500805,1.6288693986260178e-6,2.5096654438089754e-5,1.352628389502307e-5,AKT1/AKT3/PRKCD/SRC/PIK3CA,5,Human
Upregulated_in_human_Dendritic_cells,R-HSA-453279,Mitotic G1-G1/S phases,0.16279069767441862,0.014013824448442382,1.9449360150143895e-6,2.8387907966124196e-5,1.5300162947329084e-5,AKT1/AKT3/CDK2/CDK7/LYN/SRC/CDC7,7,Human
Upregulated_in_human_Dendritic_cells,R-HSA-166520,Signaling by NTRKs,0.13953488372093023,0.008900672284821514,1.978964738023081e-6,2.8387907966124196e-5,1.5300162947329084e-5,MAPK1/MAPK13/MAPK7/SRC/PIK3CA/DUSP7,6,Human
Upregulated_in_human_Dendritic_cells,R-HSA-168898,Toll-Like Receptors Cascades,0.16279069767441862,0.014866016475712528,2.8857961723845403e-6,4.001637359039896e-5,2.1567529288347616e-5,MAPK1/MAPK7/MAP2K1/MAP2K3/MAP3K1/RIPK2/DUSP7,7,Human
