Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Organism
Upregulated_in_human_Dendritic_cells,R-HSA-450302,activated TAK1 mediates p38 MAPK activation,0.046511627906977,0.00227251207272,0.004222398910686,0.014637649557045,0.007889219017334,MAP2K3/RIPK2,2,Human
Downregulated_in_human_Dendritic_cells,R-HSA-450302,activated TAK1 mediates p38 MAPK activation,0.04424778761062,0.00227251207272,4.63668009989191E-06,6.57457460318007E-05,4.1048072139394E-05,MAPKAPK2/MAPKAPK3/MAPK14/MAP2K6/IRAK1,5,Human
Upregulated_in_human_Monocytes,R-HSA-450302,activated TAK1 mediates p38 MAPK activation,0.066666666666667,0.00227251207272,0.002071001851122,0.020941237575713,0.014416574835601,MAP2K6/RIPK2,2,Human
Downregulated_in_human_Monocytes,R-HSA-450302,activated TAK1 mediates p38 MAPK activation,0.064516129032258,0.00227251207272,1.04785146857794E-05,0.000105949426267,6.02974178409761E-05,MAPKAPK2/MAPKAPK3/MAPK14/MAP3K7,4,Human
Upregulated_in_murine_Dendritic_cells,R-MMU-450302,activated TAK1 mediates p38 MAPK activation,0.05,0.001932367149758,0.002633943455638,0.012366141308672,0.007471846734101,Mapkapk2/Ripk2,2,Mouse
Downregulated_in_murine_Dendritic_cells,R-MMU-450302,activated TAK1 mediates p38 MAPK activation,0.03448275862069,0.001932367149758,0.005468307307483,0.024862570558021,0.015963619929212,Mapk14/Map2k3,2,Mouse
Upregulated_in_human_Dendritic_cells,R-HSA-176187,Activation of ATR in response to replication stress,0.046511627906977,0.003503456112111,0.009853624467757,0.026445856636045,0.014253460180864,CDK2/CDC7,2,Human
Upregulated_in_human_Dendritic_cells,R-HSA-111447,Activation of BAD and translocation to mitochondria ,0.046511627906977,0.00142032004545,0.00164409364851,0.006771712453268,0.003649733685592,AKT1/AKT3,2,Human
Upregulated_in_human_Dendritic_cells,R-HSA-114452,Activation of BH3-only proteins,0.046511627906977,0.0028406400909,0.006552814100337,0.019897596100294,0.010724159841505,AKT1/AKT3,2,Human
Downregulated_in_human_Monocytes,R-HSA-936964,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,0.032258064516129,0.00170438405454,0.004883725636721,0.018831314955154,0.010717185607791,IKBKE/TBK1,2,Human
Upregulated_in_murine_Dendritic_cells,R-MMU-936964,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,0.05,0.001717659688674,0.002077079923552,0.01065465071896,0.006437733096389,Ikbke/Tbk1,2,Mouse
Downregulated_in_human_Monocytes,R-HSA-428540,Activation of RAC1,0.032258064516129,0.00132563204242,0.002948887506819,0.01315435113336,0.007486339800594,PAK1/PAK2,2,Human
Downregulated_in_human_Dendritic_cells,R-HSA-450341,Activation of the AP-1 family of transcription factors,0.026548672566372,0.0009468800303,0.000135516781711,0.00122853738174,0.00076703200002,MAPK14/MAPK3/MAPK9,3,Human
Downregulated_in_human_Monocytes,R-HSA-450341,Activation of the AP-1 family of transcription factors,0.080645161290323,0.0009468800303,1.45762924018199E-09,2.28697001476829E-08,1.30154915820243E-08,MAPK1/MAPK14/MAPK3/MAPK8/MAPK9,5,Human
Downregulated_in_murine_Dendritic_cells,R-MMU-450341,Activation of the AP-1 family of transcription factors,0.03448275862069,0.001073537305421,0.00166058557026,0.011325193589176,0.00727161681293,Mapk14/Mapk3,2,Mouse
Downregulated_in_human_Monocytes,R-HSA-879415,Advanced glycosylation endproduct receptor signaling,0.032258064516129,0.00123094403939,0.002537186298782,0.01202520589527,0.006843726200663,MAPK1/MAPK3,2,Human
